Category,Title,Authors,Venue,Year,Language,Text type,Modalities,Learning type,Training type,Model categorie(s),Model type(s),Existing model(s)
Recognition,Research on Multi-line Recognition Algorithm for Tibetan Document,"Yashan Liu, Jie Zhu, Zezhou Xu, Songsi Yan, Chao Wang, Zehui Xu",2022 3rd International Conference on Pattern Recognition and Machine Learning (PRML),2022,Ancient Tibetan,Manuscripts,Both,Supervised,Trained,Deep Learning,CNN,ResNet
Recognition,Text line segmentation in Indian ancient handwritten documents using faster R-CNN,"Amar Jindal, Rajib Ghosh",Multimedia Tools and Applications,2022,Devanagari,Manuscripts,Visual,Supervised,Trained,Deep Learning,CNN,R-CNN
Recognition,Hieroglyphs Language Translator using deep learning techniques (Scriba),"Ragaa Moustafa, Farida Hesham, Samiha Hussein, Badr Amr, Samira Refaat, Nada Shorim, Taraggy M Ghanim","International Mobile, Intelligent, and Ubiquitous Computing Conference (MIUCC)",2022,Egyptian hieroglyphs,,Both,Supervised,Both,Deep Learning,CNN,"EfficientNet, MobileNet, ShuffleNet"
Recognition,A Deep Learning Approach for Recognizing the Cursive Tamil Characters in Palm Leaf Manuscripts,"Gayathri Devi S, Subramaniyaswamy Vairavasundaram, Yuvaraja Teekaraman, Ramya Kuppusamy, Arun Radhakrishnan",Computational Intelligence And Neuroscience,2022,Old Tamil,Palm Leaf manuscripts,Both,Supervised,Both,Deep Learning,CNN,"AlexNet, DenseNet, LeNet, ResNet"
Recognition,Word prediction using CNN for ancient manuscripts,"PM Dinesh, A Lishma Sruthi, S Praveen, A Manjunathan",AIP Conference Proceedings,2023,Ancient Tamil,Palm leaf manuscripts,Both,Supervised,Trained,Deep Learning,CNN,
Recognition,Towards better long-tailed oracle character recognition with adversarial data augmentation,"Jing Li, Qiu-Feng Wang, Kaizhu Huang, Xi Yang, Rui Zhang, John Y Goulermas",Pattern Recognition,2023,Old Korean,Inscriptions,Visual,Supervised,Trained,Deep Learning,GAN,
Representation learning,Word embeddings pointing the way for Late Antiquity,"Johannes Bjerva, Raf Praet","SIGHUM Workshop on Language Technology for Cultural Heritage, Social Sciences, and Humanities",2015,Latin,Letters,Text,Unsupervised,Trained,Deep Learning,word2vec/fastText,word2vec
Representation learning,Rethinking intertextuality through a word-space and social network approach–the case of Cassiodorus,"Johannes Bjerva, Raf Praet",Journal of Data Mining and Digital Humanities,2016,Latin,Letters,Text,Unsupervised,Trained,Deep Learning,word2vec/fastText,word2vec
Representation learning,Semantic Domains in Akkadian Texts,"Saana Svärd, Heidi Jauhiainen, Aleksi Sahala, Krister Lindén","CyberResearch on the Ancient Near East and Neighboring Regions. Case Studies on Archaeological Data, Objects, Texts, and Digital Archiving",2018,Akkadian  Cuneiform,,Text,Unsupervised,Trained,Deep Learning,word2vec/fastText,word2vec
Representation learning,Vir is to Moderatus as Mulier is to Intemperans-Lemma Embeddings for Latin.,"Rachele Sprugnoli, Marco Passarotti, Giovanni Moretti","Proceedings of the Sixth Italian Conference on Computational Linguistics, Accademia University Press, Torino, Italy (9791280136008)",2019,Latin,Literature,Text,Unsupervised,Trained,Deep Learning,"word2vec/fastText, word2vec/fastText","fastText, word2vec"
Representation learning,Latin BERT: A contextual language model for classical philology,"David Bamman, Patrick J Burns",arXiv preprint arXiv:2009.10053,2020,Latin,Philology,Text,Supervised & Self-supervised,Trained,Deep Learning,Transformer,BERT
Representation learning,Profiling of Intertextuality in Latin Literature Using Word Embeddings,"Patrick J Burns, James Brofos, Kyle Li, Pramit Chaudhuri, Joseph P Dexter",North American Chapter of the Association for Computational Linguistics (NAACL),2021,Latin,Literature,Text,Self-supervised,Trained,Deep Learning,word2vec/fastText,word2vec
Representation learning,Computational Pattern Recognition in Linear A,"Jajwalya Karajgikar, Amira Al-Khulaidy, Anamaria Berea",preprint,2021,Linear A,Tablets,Text,Unsupervised,Trained,"Deep Learning, Machine Learning","Clustering, K-NN, n-gram, word2vec/fastText",word2vec
Semantics,Measuring historical word sense variation,"David Bamman, Gregory Crane",ACM/IEEE joint conference on Digital libraries,2011,Latin,Literature,Text,Supervised,Trained,"Machine Learning, Statistical","K-NN, Probabilistic model",
Semantics,The Diorisis Ancient Greek Corpus: Linguistics and Literature,"Alessandro Vatri, Barbara McGillivray",Research Data Journal for the Humanities and Social Sciences,2018,Ancient Greek,Literature,Text,,,Machine Learning,Software,
Semantics,GASC: Genre-Aware Semantic Change for Ancient Greek,"Valerio Perrone, Marco Palma, Simon Hengchen, Alessandro Vatri, Jim Q Smith, Barbara McGillivray",International Workshop on Computational Approaches to Historical Language Change,2019,Ancient Greek,Literature,Text,Unsupervised,Trained,Machine Learning,Probabilistic model,
Semantics,NER on Ancient Greek with minimal annotation,"Chiara Palladino, Farimah Karimi, Brigitte Mathiak",<https://dh2020.adho.org/>,2020,Ancient Greek,Literature,Text,,Trained,Machine Learning,CRF,
Semantics,Automatic semantic role labeling in Ancient Greek using distributional semantic modeling,Alek Keersmaekers,Workshop on Language Technologies for Historical and Ancient Languages (LT4HALA),2020,Ancient Greek,Literacy,Text,Supervised,Trained,Machine Learning,Trees/Random Forest,
Semantics,Lemmatization for Ancient Greek: An experimental assessment of the state of the art,"Alessandro Vatri, Barbara McGillivray",Journal of Greek Linguistics,2020,Ancient Greek,Literature,Text,,,,,"CLTK, GLEM"
Semantics,HUE: Pretrained Model and Dataset for Understanding Hanja Documents of Ancient Korea,"Haneul Yoo, Jiho Jin, Juhee Son, JinYeong Bak, Kyunghyun Cho, Alice Oh",North American Chapter of the Association for Computational Linguistics (NAACL),2022,Hanja Korean,Documents,Text,Supervised & Self-supervised,Trained,Deep Learning,Transformer,BERT
Sentiment analysis,Sentiment Analysis of Homeric Text: The 1st Book of Iliad,"John Pavlopoulos, Alexandros Xenos, Davide Picca",Language Resources and Evaluation Conference (LREC),2022,Ancient Greek,Epic poetry,Text,Supervised,Both,Deep Learning,Transformer,BERT
Sentiment analysis,Zero-shot learning based cross-lingual sentiment analysis for Sanskrit text with insufficient labeled data,"Puneet Kumar, Kshitij Pathania, Balasubramanian Raman",Applied Intelligence,2022,Sanskrit,,Text,Supervised,Trained,Deep Learning,"RNN, Transformer",
Stemmatology,Towards generating a stemma of complicated manuscript traditions: Petrus Alfonsi’s Dialogus,"Philipp Roelli, Dieter Bachmann",Revue d'histoire des textes,2010,Latin,Manuscript,Text,,,Machine Learning,"CRF, RNN",
Stemmatology,Reconstructing ancient literary texts from noisy manuscripts,"Moshe Koppel, Moty Michaely, Alex Tal",Workshop on Computational Linguistics for Literature,2016,Hebrew,Manuscript,Text,,,Machine Learning,Optimization,
Stemmatology,Machine Learning in Textual Criticism: An examination of the performance of supervised machine learning algorithms in reconstructing the text of the Greek New Testament,"Mason Jones, Francesco Romano, Abidalrahman Mohd",2022 7th International Conference on Machine Learning Technologies (ICMLT),2022,Ancient Greek,Manuscript,Text,Supervised,Trained,Machine Learning,"K-NN, MLP/NN, SVM, Trees/Random Forest, Trees/Random Forest",
Stemmatology,Logion: Machine Learning for Greek Philology,"Charlie Cowen-Breen, Creston Brooks, Johannes Haubold, Barbara Graziosi",arXiv preprint arXiv:2305.01099,2023,Ancient Greek,Manuscripts,Text,Supervised,Pretrained,Deep Learning,Transformer,BERT
Stylometrics,Stylometry of literary papyri,"Jeremi K Ochab, Holger Essler",International Conference on Digital Access to Textual Cultural Heritage,2019,Ancient Greek,Papyri,Text,Unsupervised,Trained,Machine Learning,Clustering,
Stylometrics,Stylometric classification of ancient Greek literary texts by genre,"Efthimios Gianitsos, Thomas Bolt, Pramit Chaudhuri, Joseph Dexter","SIGHUM Workshop on Computational Linguistics for Cultural Heritage, Social Sciences, Humanities and Literature",2019,Ancient Greek,Literary,Text,Supervised,Trained,Machine Learning,Trees/Random Forest,
Stylometrics,Arabic Poetry Meter Categorization Using Machine Learning Based on Customized Feature Extraction,"Fahd Alqasemi, Salah AL-Hagree, Nail Adeeb Ali Abdu, Baligh Al-Helali, Ghaleb Al-Gaphari","International Conference on Intelligent Technology, System and Service for Internet of Everything (ITSS-IoE)",2021,Arabic,Poetry,Text,Supervised,Trained,Machine Learning,"MLP/NN, SVM, Trees/Random Forest",
Textual restoration,A Markov model of the Indus script,"Rajesh PN Rao, Nisha Yadav, Mayank N Vahia, Hrishikesh Joglekar, Ronojoy Adhikari, Iravatham Mahadevan",Proceedings of the National Academy of Sciences (PNAS),2009,Indus script,Inscriptions,Text,Self-supervised,Trained,Statistical,"Probabilistic model, n-gram",
Textual restoration,Statistical analysis of the Indus script using n-grams,"Nisha Yadav, Hrishikesh Joglekar, Rajesh PN Rao, Mayank N Vahia, Ronojoy Adhikari, Iravatham Mahadevan",PLOS ONE,2010,Indus script,Inscriptions,Text,Self-supervised,Trained,Statistical,"Probabilistic model, n-gram",
Textual restoration,Restoring ancient text using deep learning: a case study on Greek epigraphy,"Yannis Assael, Thea Sommerschield, Jonathan Prag",Empirical Methods in Natural Language Processing (EMNLP),2019,Ancient Greek,Inscriptions,Text,Self-supervised,Trained,Deep Learning,seq2seq,
Textual restoration,Restoration of fragmentary Babylonian texts using recurrent neural networks,"Ethan Fetaya, Yonatan Lifshitz, Elad Aaron, Shai Gordin",Proceedings of the National Academy of Sciences (PNAS),2020,Akkadian  Cuneiform,Tablets,Text,Self-supervised,Trained,Deep Learning,RNN,
Textual restoration,Blank Language Models,"Tianxiao  Shen, Victor  Quach, Regina  Barzilay, Tommi Jaakkola",Empirical Methods in Natural Language Processing (EMNLP),2020,Ancient Greek,Inscriptions,Text,Self-supervised,Trained,Deep Learning,Transformer,
Textual restoration,Latin BERT: A contextual language model for classical philology,"David Bamman, Patrick J Burns",arXiv preprint arXiv:2009.10053,2020,Latin,Philology,Text,Supervised & Self-supervised,Trained,Deep Learning,Transformer,BERT
Textual restoration,Filling the Gaps in Ancient Akkadian Texts: A Masked Language Modelling Approach,"Koren Lazar, Benny Saret, Asaf Yehudai, Wayne Horowitz, Nathan Wasserman, Gabriel Stanovsky",arXiv preprint arXiv:2109.04513,2021,Akkadian  Cuneiform,Tablets,Text,Self-supervised,Trained,Deep Learning,Transformer,
Textual restoration,Restoring and Mining the Records of the Joseon Dynasty via Neural Language Modeling and Machine Translation,"Kyeongpil Kang, Kyohoon Jin, Soyoung Yang, Soojin Jang, Jaegul Choo, Youngbin Kim",North American Chapter of the Association for Computational Linguistics (NAACL),2021,Old Korean,,Text,Supervised & Self-supervised,Trained,Deep Learning,Transformer,
Textual restoration,Restoring and attributing ancient texts using deep neural networks,"Yannis Assael, Thea Sommerschield, Brendan Shillingford, Mahyar Bordbar, John Pavlopoulos, Marita Chatzipanagiotou, Ion Androutsopoulos, Jonathan Prag, Nando de Freitas",Nature,2022,Ancient Greek,Inscriptions,Text,Supervised & Self-supervised,Trained,Deep Learning,Transformer,
Textual restoration,Logion: Machine Learning for Greek Philology,"Charlie Cowen-Breen, Creston Brooks, Johannes Haubold, Barbara Graziosi",arXiv preprint arXiv:2305.01099,2023,Ancient Greek,Manuscripts,Text,Supervised,Pretrained,Deep Learning,Transformer,BERT
Textual restoration,Word prediction using CNN for ancient manuscripts,"PM Dinesh, A Lishma Sruthi, S Praveen, A Manjunathan",AIP Conference Proceedings,2023,Ancient Tamil,Palm leaf manuscripts,Both,Supervised,Trained,Deep Learning,CNN,
Textual restoration,A Generative Model for the Mycenaean Linear B Script and Its Application in Infilling Text from Ancient Tablets,"Katerina Papavassileiou, Dimitrios I. Kosmopoulos, Gareth Owens",J. Comput. Cult. Herit.,2023,Linear B,Inscriptions,Text,Self-supervised,Trained,Deep Learning,"RNN, RNN",
Textual restoration,Restoring Ancient Ideograph: A Multimodal Multitask Neural Network Approach,"Siyu Duan, Jun Wang, Qi Su",arXiv preprint arXiv:2403.06682,2024,Old Chinese,Books,Both,Unsupervised,Trained,Deep Learning,Transformer,BERT
"Topic modelling, genre detection",Data Mining Tools and GRID Infrastructure for Assyriology Text Analysis (An Old-Babylonian Situation Studied through Text Analysis and Data Mining Tools),"Giovanni Bracco, Silvio Migliori, Giorgio Mencuccini, Daniela Alderuccio, Giovanni Ponti",RAI-Rencontre Assyriologique Internationale- Private and State in the Ancient Near East,2013,Babylonian  Cuneiform,Tablets,Text,Unsupervised,Trained,Machine Learning,Clustering,
"Topic modelling, genre detection",Topic modelling experiments on Hellenistic corpora,"Ryder Wishart, Prokopis Prokopidis",CDH@ TLT,2017,Ancient Greek,Literature,Text,Supervised & Unsupervised,Trained,Machine Learning,LDA,
"Topic modelling, genre detection",Measuring Philosophy in the First Thousand Years of Greek Literature,Thomas Köntges,Digital Classics Online,2020,Ancient Greek,Philosophical texts,Text,Unsupervised,Trained,Machine Learning,LDA,
"Topic modelling, genre detection",Classifying Latin Inscriptions of the Roman Empire: A Machine-Learning Approach,"V Kaše, P Heřmánková, A Sobotková",Workshop on Computational Humanities Research,2021,Latin,Inscriptions,Text,Supervised,Trained,Machine Learning,"SVM, Trees/Random Forest, Trees/Random Forest",
"Topic modelling, genre detection",HUE: Pretrained Model and Dataset for Understanding Hanja Documents of Ancient Korea,"Haneul Yoo, Jiho Jin, Juhee Son, JinYeong Bak, Kyunghyun Cho, Alice Oh",North American Chapter of the Association for Computational Linguistics (NAACL),2022,Hanja Korean,Documents,Text,Supervised & Self-supervised,Trained,Deep Learning,Transformer,BERT
Word segmentation and boundary detection,Classical Chinese sentence segmentation,"Hen-Hsen Huang, Chuen-Tsai Sun, Hsin-Hsi Chen",CIPS-SIGHAN joint conference on Chinese language processing,2010,Old Chinese,,Text,Supervised,,Machine Learning,CRF,
Word segmentation and boundary detection,Word Segmentation for Text in Japanese Ancient Writings Based on Probability of Character N-Grams,"Mamoru Yoshimura, Fuminori Kimura, Akira Maeda",International Conference on Asian Digital Libraries,2012,Ancient Japanese,Literature,Text,,,Statistical,n-gram,
Word segmentation and boundary detection,Word segmentation for Akkadian Cuneiform,"Timo Homburg, Christian Chiarcos",Language Resources and Evaluation Conference (LREC),2016,Akkadian  Cuneiform,Tablets,Text,Supervised,Trained,"Machine Learning, Statistical","CRF, Clustering, K-NN, MLP/NN, Optimization, Probabilistic model, Probabilistic model, SVM, n-gram",
Word segmentation and boundary detection,Detecting sentence boundaries in Sanskrit texts,Oliver Hellwig,International Conference on Computational Linguistics: Technical Papers (COLING),2016,Ancient Sanskrit,Literature,Text,Supervised,Trained,Deep Learning,RNN,
Word segmentation and boundary detection,A sentence segmentation method for ancient Chinese texts based on NNLM,"Boli Wang, Xiaodong Shi, Zhixing Tan, Yidong Chen, Weili Wang",Workshop on Chinese Lexical Semantics,2016,Old Chinese,,Text,Supervised,Trained,Deep Learning,RNN,
Word segmentation and boundary detection,Capsules based Chinese word segmentation for ancient Chinese medical books,"Si Li, Mingzheng Li, Yajing Xu, Zuyi Bao, Lu Fu, Yan Zhu",IEEE Access,2018,Old Chinese,Medical Literature,Text,Supervised,,Machine Learning,Capsules,
Word segmentation and boundary detection,Word segmentation for ancient Chinese texts based on nonparametric Bayesian models and deep learning,"JS Yu, Y Wei, YW Zhang, H Yang",Journal of Chinese Information Processing,2020,Old Chinese,Literature,Text,Supervised,Trained,"Deep Learning, Statistical","Probabilistic model, Transformer",BERT
Word segmentation and boundary detection,Ancient Tibetan Word Segmentation based on Deep Learning,"Bo An, Congjun Long",International Conference on Asian Language Processing (IALP),2021,Ancient Tibetan,Literature,Text,Supervised,Trained,"Deep Learning, Machine Learning","CRF, RNN",
Word segmentation and boundary detection,Reconsidering the Roman workshop: using computer vision to analyse the making of ancient inscriptions,"Charlotte Tupman, Dmitry Kangin, Jacqueline Christmas",Umanistica Digitale,2021,Latin,Inscriptions,Both,Supervised,Trained,Deep Learning,CNN,EAST detector
Word segmentation and boundary detection,People name recognition from ancient Chinese literature using distant supervision and deep learning,"Hailin Zhang, Hai Zhu, Junsong Ruan, Ruoyao Ding",International Conference on Artificial Intelligence and Information Systems,2021,Old Chinese,Literature,Text,Supervised,Trained,Deep Learning,RNN,
Word segmentation and boundary detection,PergaNet: A Deep Learning Framework for Automatic Appearance-Based Analysis of Ancient Parchment Collections,"Marina Paolanti, Rocco Pietrini, Laura Della Sciucca, Emanuele Balloni, Benedetto Luigi Compagnoni, Antonella Cesarini, Luca Fois, Pierluigi Feliciati, Emanuele Frontoni",International Conference on Image Analysis and Processing,2022,Latin,notary mauscripts,Visual,Supervised,Both,Deep Learning,CNN,"EAST, VGG16, YOLOv3"
Word segmentation and boundary detection,That Slepen Al the Nyght with Open Ye! Cross-era Sequence Segmentation with Switch-memory,"Xuemei Tang, Qi Su",Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2022,Old Chinese,Books,Text,Supervised,Trained,Deep Learning,Transformer,BERT
Word segmentation and boundary detection,Ancient Chinese Word Segmentation and Part-of-Speech Tagging Using Distant Supervision,"Shuo Feng, Piji Li","International Conference on Acoustics, Speech and Signal Processing (ICASSP)",2023,Old Chinese,Manuscripts,Text,Weakly-supervised,Trained,Deep Learning,"CRF, Transformer",SIKU-Roberta
Word segmentation and boundary detection,Automatic sentence segmentation for classical Chinese: The Spring and Autumn Annals as an example,"Wenjie Fan, Dongbo Wang, Shuiqing Huang",Digital Scholarship in the Humanities,2023,Old Chinese,Manuscripts,Visual,Supervised,Trained,"Deep Learning, Machine Learning","BiRNN-CRF, CRF, RNN, Transformer",SIKU-Roberta
